,Longitude,Latitude,Value
728,120.9,23.049999999999997,2.3
729,120.93,23.049999999999997,1.3
730,120.96,23.049999999999997,5.9
731,120.99,23.049999999999997,7.8
732,121.02,23.049999999999997,11.5
733,121.05,23.049999999999997,12.4
734,121.08,23.049999999999997,14.4
735,121.11,23.049999999999997,17.0
736,121.14,23.049999999999997,22.7
737,121.17,23.049999999999997,24.6
738,121.2,23.049999999999997,24.1
739,121.23,23.049999999999997,20.5
740,121.26,23.049999999999997,23.8
741,121.29,23.049999999999997,24.6
742,121.32,23.049999999999997,23.8
743,120.03,23.08,25.4
744,120.06,23.08,25.7
745,120.09,23.08,25.3
746,120.12,23.08,25.3
747,120.15,23.08,25.2
748,120.18,23.08,25.2
749,120.21,23.08,25.2
750,120.24,23.08,24.6
751,120.27,23.08,25.1
752,120.3,23.08,25.0
753,120.33,23.08,24.9
754,120.36,23.08,24.8
755,120.39,23.08,24.8
756,120.42,23.08,24.5
757,120.45,23.08,24.4
758,120.48,23.08,24.5
759,120.51,23.08,24.1
760,120.54,23.08,23.8
761,120.57,23.08,20.8
762,120.6,23.08,22.3
763,120.63,23.08,19.1
764,120.66,23.08,20.5
765,120.69,23.08,22.3
766,120.72,23.08,19.5
767,120.75,23.08,14.3
768,120.78,23.08,13.6
769,120.81,23.08,6.9
770,120.84,23.08,5.0
771,120.87,23.08,3.5
772,120.9,23.08,3.6
773,120.93,23.08,7.3
774,120.96,23.08,9.6
775,120.99,23.08,6.3
776,121.02,23.08,7.9
777,121.05,23.08,13.5
778,121.08,23.08,12.0
779,121.11,23.08,20.3
780,121.14,23.08,19.8
781,121.17,23.08,24.7
782,121.2,23.08,24.5
783,121.23,23.08,23.4
784,121.26,23.08,22.0
785,121.29,23.08,23.4
786,121.32,23.08,21.0
787,121.35,23.08,25.7
788,120.06,23.11,25.4
789,120.12,23.11,25.3
790,120.15,23.11,25.3
791,120.18,23.11,25.3
792,120.21,23.11,25.3
793,120.24,23.11,25.2
794,120.27,23.11,25.1
795,120.3,23.11,25.0
796,120.33,23.11,24.9
797,120.36,23.11,24.9
798,120.39,23.11,24.9
799,120.42,23.11,24.2
800,120.45,23.11,24.8
801,120.48,23.11,24.3
802,120.51,23.11,22.8
803,120.54,23.11,21.9
804,120.57,23.11,22.5
805,120.6,23.11,22.6
806,120.63,23.11,20.8
807,120.66,23.11,15.2
808,120.69,23.11,20.3
809,120.72,23.11,19.8
810,120.75,23.11,18.3
811,120.78,23.11,15.5
812,120.81,23.11,12.0
